Brend;Link;USD;UAH;City;Image
Jeep Wrangler 2018Sahara 3D 2.0i AT (272 л.с.) AWD;https://avto.ria.com/newauto/auto-jeep-wrangler-1810694.html;53 700 $;1 499 841 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-wrangler__624653-341x224x70.jpg
Jeep Grand Cherokee 2018Limited 3.0TD АТ (250 л.с.);https://avto.ria.com/newauto/auto-jeep-grand-cherokee-1810691.html;55 000 $;1 536 150 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-grand-cherokee__619919-341x224x70.jpg
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://avto.ria.com/newauto/auto-jeep-grand-cherokee-1811781.html;59 500 $;1 661 835 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-grand-cherokee__629301-341x224x70.jpg
Jeep Compass 2020Longitude 2.4 9АТ (175 л.с.) AWD;https://avto.ria.com/newauto/auto-jeep-compass-1810690.html;32 200 $;899 346 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-compass__624448-341x224x70.jpg
Jeep Compass 2019Longitude 2.4 9АТ (175 л.с.) AWD;https://avto.ria.com/newauto/auto-jeep-compass-1842566.html;29 900 $;835 107 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-compass__911897-341x224x70.jpg
Jeep Grand Cherokee 2021Overland 3.6 AT (286 л.с.);https://avto.ria.com/newauto/auto-jeep-grand-cherokee-1842428.html;54 000 $;1 508 220 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-grand-cherokee__909309-341x224x70.jpg
Jeep Renegade 2020Limited 1.3i AT (180 л.с.) AWD;https://avto.ria.com/newauto/auto-jeep-renegade-1810689.html;28 500 $;796 005 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-renegade__952097-341x224x70.jpg
Jeep Wrangler 2020Sport 3D 2.0i AT (272 л.с.) AWD;https://avto.ria.com/newauto/auto-jeep-wrangler-1842436.html;58 800 $;1 642 284 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-wrangler__909467-341x224x70.jpg
Jeep Compass 2021Longitude 2.4 9АТ (175 л.с.) AWD;https://avto.ria.com/newauto/auto-jeep-compass-1845839.html;28 950 $;808 574 грн;Одесса;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-compass__958447-341x224x70.jpg
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://avto.ria.com/newauto/auto-jeep-grand-cherokee-1853604.html;59 000 $;1 646 100 грн;Львов;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-grand-cherokee__1091428-341x224x70.jpg
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://avto.ria.com/newauto/auto-jeep-grand-cherokee-1829808.html;59 000 $;1 646 100 грн;Львов;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-grand-cherokee__738416-341x224x70.jpg
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://avto.ria.com/newauto/auto-jeep-grand-cherokee-1836192.html;59 500 $;1 661 841 грн;Киев;https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/jeep-grand-cherokee__836778-341x224x70.jpg
